text,label
Compute eight hundred and seventy two divided by four hundred and thirty six,2
Compute eight hundred and sixty eight minus eight hundred and sixty,8
Compute twenty seven minus twenty five,2
Compute two hundred and eighty minus two hundred and seventy two,8
Compute six hundred and twenty eight minus six hundred and twenty,8
Compute one thousand eight hundred and ninety four divided by nine hundred and forty seven,2
Compute one thousand three hundred and seven minus one thousand three hundred and seven,0
Compute nine hundred and twelve minus nine hundred and three,9
Compute one thousand five hundred and ninety two divided by seven hundred and ninety six,2
Compute one thousand six hundred and thirty eight minus one thousand six hundred and thirty eight,0
Compute seven hundred and thirty five minus seven hundred and thirty one,4
Compute three thousand and twenty four divided by seven hundred and fifty six,4
Compute eight hundred and six minus seven hundred and ninety seven,9
Compute eight hundred and ninety five divided by eight hundred and ninety five,1
Compute six hundred and two minus five hundred and ninety six,6
Compute one thousand one hundred and thirty eight divided by five hundred and sixty nine,2
Compute six hundred and sixty minus six hundred and sixty,0
Compute three thousand eight hundred and sixteen divided by four hundred and twenty four,9
Compute three hundred and sixty four divided by ninety one,4
Compute four thousand two hundred and sixty six divided by seven hundred and eleven,6
Compute one thousand eight hundred and nine divided by two hundred and one,9
Compute five hundred and two minus four hundred and ninety nine,3
Compute five hundred and thirty four minus five hundred and twenty six,8
Compute one thousand and sixty four divided by one hundred and thirty three,8
Compute one hundred and seventy two minus one hundred and sixty four,8
Compute eight thousand one hundred and eighty one divided by nine hundred and nine,9
Compute seven hundred and twenty three minus seven hundred and twenty one,2
Compute four thousand eight hundred and eighteen divided by eight hundred and three,6
Compute nine hundred and eighty seven divided by three hundred and twenty nine,3
Compute two thousand eight hundred and ninety eight divided by four hundred and fourteen,7
Compute one thousand three hundred and seventy nine minus one thousand three hundred and seventy nine,0
Compute eight hundred and sixteen minus eight hundred and twelve,4
Compute thirty eight minus thirty,8
Compute nineteen minus eleven,8
Compute one thousand five hundred and fifty four divided by two hundred and fifty nine,6
Compute one hundred and twenty four minus one hundred and nineteen,5
Compute one hundred and nine divided by one hundred and nine,1
Compute one hundred and forty seven minus one hundred and forty seven,0
Compute two hundred and ninety seven minus two hundred and ninety one,6
Compute one thousand and eight divided by three hundred and thirty six,3
Compute three hundred and fifty four divided by three hundred and fifty four,1
Compute one thousand two hundred and thirty two minus one thousand two hundred and thirty two,0
Compute four thousand five hundred and seventy two divided by seven hundred and sixty two,6
Compute one hundred and eighty minus one hundred and seventy eight,2
Compute six hundred and eighty divided by eighty five,8
Compute two hundred and two minus two hundred and two,0
Compute four hundred and seventy nine minus four hundred and seventy one,8
Compute four hundred and fifty one minus four hundred and forty six,5
Compute four hundred and nineteen minus four hundred and seventeen,2
Compute seven hundred and eighty two minus seven hundred and seventy nine,3
Compute one hundred and eighty seven minus one hundred and eighty one,6
Compute three thousand seven hundred and sixty eight divided by six hundred and twenty eight,6
Compute five hundred and thirty six minus five hundred and twenty eight,8
Compute three thousand five hundred and eighty eight divided by five hundred and ninety eight,6
Compute two hundred and forty five minus two hundred and forty,5
Compute seventy divided by fourteen,5
Compute seven hundred and fifty two minus seven hundred and forty seven,5
Compute two thousand five hundred and eleven divided by two hundred and seventy nine,9
Compute eight hundred and forty eight minus eight hundred and forty four,4
Compute seventeen minus thirteen,4
Compute one hundred and eleven minus one hundred and ten,1
Compute one thousand five hundred and five divided by three hundred and one,5
Compute one thousand eight hundred and thirty eight divided by nine hundred and nineteen,2
Compute one thousand one hundred and twenty eight minus one thousand one hundred and twenty eight,0
Compute two hundred and fifty nine minus two hundred and fifty eight,1
Compute one thousand nine hundred and fourteen divided by three hundred and nineteen,6
Compute one hundred and forty five minus one hundred and forty one,4
Compute five hundred and thirteen divided by fifty seven,9
Compute one thousand six hundred and twenty six divided by eight hundred and thirteen,2
Compute ninety minus eighty six,4
Compute eight hundred and ten minus eight hundred and one,9
Compute six hundred and sixty nine minus six hundred and sixty nine,0
Compute seven hundred and sixty one minus seven hundred and fifty five,6
