text,label
Is 10328 an odd number ?,0
Is 1555 an odd number ?,1
Is 12747 an odd number ?,1
Is 15346 an even number ?,1
Is 6751 an odd number ?,1
Is 19546 an odd number ?,0
Is 1932 an even number ?,1
Is 3358 an even number ?,1
Is 6309 an even number ?,0
Is 3189 an even number ?,0
Is 19161 an odd number ?,1
Is 2439 an odd number ?,1
Is 16405 an odd number ?,1
Is 28 an even number ?,1
Is 11363 an even number ?,0
Is 10749 an even number ?,0
Is 4210 an even number ?,1
Is 15795 an even number ?,0
Is 8951 an even number ?,0
Is 412 an odd number ?,0
Is 17843 an even number ?,0
Is 14568 an even number ?,1
Is 10571 an even number ?,0
Is 5704 an even number ?,1
Is 10428 an even number ?,1
Is 19329 an even number ?,0
Is 17517 an even number ?,0
Is 11747 an odd number ?,1
Is 12545 an even number ?,0
Is 14185 an even number ?,0
Is 17454 an odd number ?,0
Is 1370 an odd number ?,0
Is 8403 an even number ?,0
Is 10693 an even number ?,0
Is 2008 an odd number ?,0
Is 18842 an even number ?,1
Is 12058 an even number ?,1
Is 1904 an odd number ?,0
Is 11987 an odd number ?,1
Is 11450 an odd number ?,0
Is 1990 an even number ?,1
Is 11725 an even number ?,0
Is 17495 an even number ?,0
Is 356 an odd number ?,0
Is 7998 an even number ?,1
Is 17472 an odd number ?,0
Is 15500 an even number ?,1
Is 13602 an even number ?,1
Is 820 an even number ?,1
Is 6817 an even number ?,0
Is 9482 an even number ?,1
Is 4060 an odd number ?,0
Is 2084 an even number ?,1
Is 10046 an even number ?,1
Is 4762 an even number ?,1
Is 3805 an even number ?,0
Is 19716 an odd number ?,0
Is 4231 an odd number ?,1
Is 14187 an odd number ?,1
Is 17200 an even number ?,1
Is 161 an odd number ?,1
Is 18910 an odd number ?,0
Is 11311 an even number ?,0
Is 9207 an even number ?,0
Is 16427 an even number ?,0
Is 10373 an even number ?,0
Is 13712 an even number ?,1
Is 9287 an odd number ?,1
Is 18002 an odd number ?,0
Is 10022 an even number ?,1
Is 17142 an odd number ?,0
Is 8367 an even number ?,0
Is 10107 an even number ?,0
Is 13780 an odd number ?,0
Is 8713 an odd number ?,1
Is 12177 an odd number ?,1
Is 322 an even number ?,1
Is 6767 an odd number ?,1
Is 5660 an even number ?,1
Is 19802 an odd number ?,0
Is 8461 an odd number ?,1
Is 362 an even number ?,1
Is 19987 an even number ?,0
Is 5635 an odd number ?,1
Is 6249 an even number ?,0
Is 7883 an even number ?,0
Is 4417 an even number ?,0
Is 5021 an even number ?,0
Is 15011 an odd number ?,1
Is 4394 an odd number ?,0
Is 6540 an even number ?,1
Is 18449 an even number ?,0
Is 16845 an even number ?,0
Is 9911 an odd number ?,1
Is 10198 an odd number ?,0
Is 17397 an even number ?,0
Is 19601 an even number ?,0
Is 14456 an even number ?,1
Is 5910 an even number ?,1
Is 1071 an even number ?,0
Is 2420 an even number ?,1
Is 550 an even number ?,1
Is 240 an even number ?,1
Is 10665 an even number ?,0
Is 16468 an odd number ?,0
Is 8955 an even number ?,0
Is 3094 an odd number ?,0
Is 15613 an odd number ?,1
Is 3601 an odd number ?,1
Is 7059 an odd number ?,1
Is 1358 an even number ?,1
Is 7573 an even number ?,0
Is 12762 an odd number ?,0
Is 16822 an even number ?,1
Is 10151 an even number ?,0
Is 19381 an even number ?,0
Is 15262 an odd number ?,0
Is 16806 an even number ?,1
Is 19619 an even number ?,0
Is 11883 an even number ?,0
Is 12097 an even number ?,0
Is 19720 an even number ?,1
Is 14749 an even number ?,0
