text,label
Are Y c x J V y l r Z E  and g e q E n e T t Z E  anagrams?,0
Are r G r P J h k  and k h G r P J r  anagrams?,1
Are U o q C x C p N D Y r S l n m  and m x D q C o S N U n r p Y C l  anagrams?,1
Are B a P S L o g g H c n q V  and q m g V s l U o M F O q V  anagrams?,0
Are J r D k H z a i G y m V  and G D m V r a J k z H i y  anagrams?,1
Are Q p  and Q p t  anagrams?,0
Are P N G m n X  and P N G m n X A D p O  anagrams?,0
Are G G z j B p j p v d G  and g u j A y i d p v d G  anagrams?,0
Are x g s H J  and J g H s x  anagrams?,1
Are A F u d v D  and D d u A v F  anagrams?,1
Are A s A F s m c V E B i t s  and A A s F V B s t m s c i E  anagrams?,1
Are u w O k N B s y U l t O a r A  and t k N O U B w r A O u a l y s  anagrams?,1
Are B X t q c t  and t q c B X t  anagrams?,1
Are s v v D  and W s d D  anagrams?,0
Are v y C E T  and T E C y v  anagrams?,1
Are R L M X s Z v d e  and M L d R X v e s Z  anagrams?,1
Are E j T p C p c E H Y c V C F a  and E j T p C p c E H Y c V C F a f x s Y B  anagrams?,0
Are V U D b d H  and d D b H U V  anagrams?,1
Are K T V G b C y K x u G A  and y T K u K G b C G A x V  anagrams?,1
Are H i B  and D q z  anagrams?,0
Are Y u T h F y v b v  and v y Y F u h T v b  anagrams?,1
Are r d m i g k a u V  and G N O z G I D k K  anagrams?,0
Are M j o V x Z  and V M Z o j x  anagrams?,1
Are g k L H f p q t  and L H o i Q g x m  anagrams?,0
Are R v T q F L b a T  and R v T q F L b a T L F B J  anagrams?,0
Are t S f V k j p X K G X c N  and N f t k j K c X p V G S X  anagrams?,1
Are k U J i x r v G A V p V b T a  and x k G v b r J p V T U V A i a  anagrams?,1
Are Z h k s p f N O u u O S m  and u S p k u O f O s h m Z N  anagrams?,1
Are y L A r m y m G A  and m y A G m r A L y  anagrams?,1
Are F g c a u M n o s r g  and o u g r g M F n a s c  anagrams?,1
Are l l g r d o b  and B G R D d t b  anagrams?,0
Are w u Z u f a Z z K Z g y A  and b p h u f a Z z K Z g y A  anagrams?,0
Are N L s f k V p Z  and p k V N L s Z f  anagrams?,1
Are g X X K s T A D z i W U  and T g A X s X K D W U z i  anagrams?,1
Are r W A P L C t o U w O K H  and r W A P L C t o U w O K H z v Y  anagrams?,0
Are D T x G U I n m b e J c  and F H U E G b x m b e J c  anagrams?,0
Are E l E k s j T k Y i f  and E l E k s j T k Y i f b p D  anagrams?,0
Are o h U n V l w C h A  and T t X L g c e k h A  anagrams?,0
Are p W Z R e q Q  and R Z Q W e q p  anagrams?,1
Are M A T M Z a x R Q u V f l B  and M A T M Z a x R Q u V f l B t O L  anagrams?,0
Are M B C  and o F E  anagrams?,0
Are X S D j N v p Q W E I  and v N X j S p E D Q I W  anagrams?,1
Are e B s Q Y u R Q m P u T D  and D R Y e B u m Q P u Q T s  anagrams?,1
Are f w D  and f w D a s x  anagrams?,0
Are B B A q U m D J o t H V  and B B A q U m D J o t H V X  anagrams?,0
Are T L C z u e a R I M A P i  and v q w g U Y a R I M A P i  anagrams?,0
Are a F x P F X V Z P M h  and c l W Z Y h i u E M h  anagrams?,0
Are Q R  and Q R u u g U i  anagrams?,0
Are z i A E b P b b U P  and z i A E b P b b U P H r S k  anagrams?,0
Are E S i a J  and J S E i a  anagrams?,1
Are a b N l L F x d O X Z B D G  and x d K h V L t d O X Z B D G  anagrams?,0
Are K Y y i A h a o O O x Y  and K Y y i A h a o O O x Y F i  anagrams?,0
Are r G  and d G  anagrams?,0
Are A Q M p r  and x C M p r  anagrams?,0
Are Q f c Z V F q L  and Q f c Z V F q L s m B  anagrams?,0
Are r j a e c B D S H I h u v e W  and c j e u v e B h S a W D H r I  anagrams?,1
Are E G L p X z x g w c M T k  and v Y Z m U S u J f c M T k  anagrams?,0
Are O A C w E H L F n F H H T N m  and H O H T F H F E C A L n m N w  anagrams?,1
Are S u w  and w S u  anagrams?,1
Are B o f S q p q l b N H o  and B o f S q p q l b N H o u A  anagrams?,0
Are R J A  and A R J  anagrams?,1
Are k F  and k F L  anagrams?,0
Are v g N D S A i m Y h  and g D v m A S h i N Y  anagrams?,1
Are u X T X b d  and d T b X u X  anagrams?,1
Are j o l D f e x z A y n g  and j g f A n x o l e z D y  anagrams?,1
Are m k N I L y n g P R  and R N y P k g n m I L  anagrams?,1
Are A A D  and Y B I  anagrams?,0
Are l M H v  and M v H l  anagrams?,1
Are z q B g q W s  and j q B g q W s  anagrams?,0
Are H b  and i b  anagrams?,0
Are P U x J W A G D Q U z  and X U N J W A G D Q U z  anagrams?,0
Are u w f d r O d s p P B g v g  and d B g O v P w r s g d p f u  anagrams?,1
Are Q d D r V J d y  and V J D r d Q y d  anagrams?,1
Are d d l v q j f N w K d C j  and Z n i Z g B f N w K d C j  anagrams?,0
Are l c l S T  and l c S l T  anagrams?,1
Are a x g M j  and x j a M g  anagrams?,1
Are O J v  and r j v  anagrams?,0
Are c I f o r d u V  and u o c d I r f V  anagrams?,1
Are V f W W C H W W O w F X  and R A D C T h t u X r F X  anagrams?,0
Are e k w w O R l q T K P Q m w C  and W c h J Y R l q T K P Q m w C  anagrams?,0
Are E x Y P o e r t M S C c P  and P x S M Y t C e E o r P c  anagrams?,1
Are o I C J J q i A  and o I C J J q i A u a  anagrams?,0
Are X v  and v X  anagrams?,1
Are I V  and I V  anagrams?,1
Are Y I o W c s C T A f m z h L  and c o A m I Y f s h W T L C z  anagrams?,1
Are g i I  and g i I  anagrams?,1
Are O n u z O  and O u O z n  anagrams?,1
Are x k  and k x  anagrams?,1
Are k u V n t  and n t u k V  anagrams?,1
Are q m I c u w x D P E n  and c a k o M w x D P E n  anagrams?,0
Are d O r Q  and d O r Q V c F  anagrams?,0
Are H V Q L F M Q S o D  and F S H Q M o L V Q D  anagrams?,1
Are V U V q e J j Z q K W C M l I  and K J e C V q I V W q M U j Z l  anagrams?,1
Are r f p F n N o h J  and o J r n f N h p F  anagrams?,1
Are g u  and g u r H e  anagrams?,0
Are n B t H c P  and n t c B H P  anagrams?,1
Are F i A R Q m X G  and X R G A i m F Q  anagrams?,1
Are s e r m e g  and s e r m e g M V n c n  anagrams?,0
Are i f j g j O p h T l l t t j M  and i f j g j O p h T l l t t j M A n  anagrams?,0
Are u y b L P l  and P L b y l u  anagrams?,1
Are G V C N K d  and a u s d N d  anagrams?,0
Are R z X r d D s k o D l c  and R z X r d D s k o D l c W T  anagrams?,0
Are J M z T s Z x s L g F w a  and J M z T s Z x s L g F w a f n j  anagrams?,0
Are m I  and m I  anagrams?,1
Are Z K z U z X L w K g r I i E  and Z K z U z X L w K g r I i E K E  anagrams?,0
Are Q M g i l M P V I g T  and l g Q V M T M i I P g  anagrams?,1
Are U q J  and U q J g G E b q  anagrams?,0
Are S S d P d z A U O U q  and U S P U S q d z O d A  anagrams?,1
Are g a h Z F V y u s q V D l a M  and y q h g V V M a D u Z l s F a  anagrams?,1
Are M z h T C  and h C z T M  anagrams?,1
Are q J t  and R L t  anagrams?,0
Are O y w R i I A s I c Q t d E  and d t Q i E w c O s I I y A R  anagrams?,1
Are g h L b M X O q w R i c I a  and g h L b M X O q w R i c I a i v G  anagrams?,0
Are w t r Y Z g v w F E s f  and w t r Y Z g v w F E s f W D Z  anagrams?,0
Are Q O Y H K E s F Z  and Q O H E K Z F s Y  anagrams?,1
Are v z G g p c q Y g Q g o  and v q g c Y o g p G z Q g  anagrams?,1
Are i c q n t q L Q c I b b U  and H c q n t q L Q c I b b U  anagrams?,0
Are g L c D i V z c r g x m b  and B L c D i V z c r g x m b  anagrams?,0
Are x f f z n t  and f x n z f t  anagrams?,1
Are V H d u j t H S x T t F  and x t u S F t H V T j d H  anagrams?,1
Are t x U l K Y t N T f v P  and N t x T Y K f t P l v U  anagrams?,1
Are T C h p S s u j E k S  and V w h p S s u j E k S  anagrams?,0
Are H T e u O z R  and R u H T z O e  anagrams?,1
Are i n O Y u v  and i n O Y u v C O d G  anagrams?,0
Are O R G e G z G j  and O R G e G z G j z g P x  anagrams?,0
Are Y G c j L L C Z y O a B F h U  and h B L y c j Z G Y U L C F a O  anagrams?,1
