text,label
Does U 4 6 6 4 Z n p 0 R P d 3 6  contains only digits?,0
Does 5 1 7 1 6 1 0 6 7 9 4 7 2 1 2  contains only digits?,1
Does 1 4 4 5 4 2 8 1 0 2 8  contains only digits?,1
Does 4 9 E 0 v 6 p 1  contains only digits?,0
Does 7 7 8  contains only digits?,1
Does P 5 l c 9 5 5 3  contains only digits?,0
Does 0 q 2 Z e 4 7 7 5 5 y  contains only digits?,0
Does N 1 w 9 5  contains only digits?,0
Does 6 6 0 6 0 9 7 2 0  contains only digits?,1
Does 6 5 9 4 5 1 2 7 7 8 1 6  contains only digits?,1
Does 4 3 5 1 4 4 0 7 4 7 0 1 7 6  contains only digits?,1
Does 7 2 8 4 8 7 2 4 7  contains only digits?,1
Does 3 1 6 2 2 6 0 3 4 1 5 7 6  contains only digits?,1
Does o o 2 7 s 0 6 F 4 1  contains only digits?,0
Does 4 1 2 4 7 9 2 0 2 5 4 3  contains only digits?,1
Does 3 9 4 4 4 6 0 1 8 7  contains only digits?,1
Does B 8 6 7 2 w 7 2 g 3 b 1 Z  contains only digits?,0
Does 8 5 2 3 1 4 8 8 9 4 4 9  contains only digits?,1
Does 5 0 4 4 4  contains only digits?,1
Does 5 4 9 8 m  contains only digits?,0
Does 1 7 8 4 2 4 2  contains only digits?,1
Does U 2 3 2 9 8 6 u W 0 l  contains only digits?,0
Does 9 2 1 2 8 6 3 8 9 0 8  contains only digits?,1
Does A 6 4 O 2  contains only digits?,0
Does G H W h 7 l 8 M E  contains only digits?,0
Does 0 2 0  contains only digits?,1
Does 6 0 3 8 8 4 3 1  contains only digits?,1
Does 7 4 4 5 1 6 0 6 3 2  contains only digits?,1
Does 8 5 1 6 8 1 6 7  contains only digits?,1
Does 8 3 4 6 0  contains only digits?,1
Does 4 1 O F e B 8 m 7 z 2 G Q  contains only digits?,0
Does 4 1 5 1 9 2 m 1 9 0 8 6  contains only digits?,0
Does 0 0 3 4 9  contains only digits?,1
Does 0 5 0 2 2 6 6 0  contains only digits?,1
Does 9 q 7 l 3 9 0 9 6 S K V 8 4  contains only digits?,0
Does 0 1 n 2 j  contains only digits?,0
Does 2 5 0 8 l 1 4 8 3 5  contains only digits?,0
Does N S J 3 1 2 4 6 6 2  contains only digits?,0
Does 3 8 8 4  contains only digits?,1
Does h z x x O g E v r g E c L B n  contains only digits?,0
Does q 5 3 1 f 2 4 8 4 5 9 c  contains only digits?,0
Does 3 5 4 2 6 5 1 6 0 8 8  contains only digits?,1
Does 7 5 0 9 4 9 7 4 6 0 0 5 8 0  contains only digits?,1
Does 5 I 0 1 8 L I 6  contains only digits?,0
Does X 1 0 6 8 7  contains only digits?,0
Does 9 4 A 7 G 0 A 7 5 b  contains only digits?,0
Does y H I e s s B L a Y z i R  contains only digits?,0
Does T m x y s H H 5 a 6 U j  contains only digits?,0
Does a 9 A 4 Y  contains only digits?,0
Does 7 7 6 4  contains only digits?,1
Does 1 8 1 I C 9 2 8 9 9 o  contains only digits?,0
Does j P G h g  contains only digits?,0
Does 9 8 0 6 2 Z  contains only digits?,0
Does u l y 8 d C g O n G f O M l  contains only digits?,0
Does l j Q  contains only digits?,0
Does 1 2 8 4 9 6  contains only digits?,1
Does t 8 4 C 1 8 B 5 m 9 1 m  contains only digits?,0
Does 0 1 7 0 1 9 0  contains only digits?,1
Does 5 0 1 2 8 4 4 4 9 1 9 8 5 5  contains only digits?,1
Does R l e q Z S v X G c Y u  contains only digits?,0
Does 8 3 9 9 6 7 7 6 5 0 3 9 2 1 2  contains only digits?,1
Does R b E  contains only digits?,0
Does 6 5 0 7 8 7 1  contains only digits?,1
Does 2 9 1 9 4 4 5 5 6 3  contains only digits?,1
Does 7 0 5 9 9 5 5 0 3 3 1 5 9  contains only digits?,1
Does 9 5 2 4 6 1 3  contains only digits?,1
Does 2 0 0 D N Y u W 0 9 6 1  contains only digits?,0
Does 2 0 7 2 6 8 6 2 8 8 1 2 1 9 2  contains only digits?,1
Does 9 2 7 0 0 4 b v 1 9 0 7 8 1  contains only digits?,0
Does M t g g 7  contains only digits?,0
Does 4 2 7 B c b d G 8  contains only digits?,0
Does 8 5 1 2 4  contains only digits?,1
Does 4 6 0 5 9 1 2  contains only digits?,1
Does c 4 7 v 2 d  contains only digits?,0
Does 2 4 0 6  contains only digits?,1
Does 6 3 1 4 5 4 7 2 3 7 3 4 0 2 4  contains only digits?,1
Does 6 n 6 8 S m 3 1 4  contains only digits?,0
Does 7 1 2 7 8 1 5 8 6 2 7 0 0 5  contains only digits?,1
Does a H b F 9 Q 5 7 s Z 4  contains only digits?,0
Does Q 0 6 6 5 8 0 3 8 1  contains only digits?,0
Does 4 6 3 9 1 1  contains only digits?,1
Does K N w G Q Y o J 8 e C h j  contains only digits?,0
Does 1 5 0 0 0 5 8 8 3 8 6 1  contains only digits?,1
Does 6 7 9 3 6 1 9 6 2 9 4 8 4 2  contains only digits?,1
Does 6 0 7 7 7 5  contains only digits?,1
Does 7 9 2 4 1 0 9 9 2 6 3 6 2  contains only digits?,1
Does 3 9 8 0 4 4 3 5 4 3 3 6 1 9 3  contains only digits?,1
Does 7 0 5 2 3 2  contains only digits?,1
Does 6 0 8 6 0 4 5  contains only digits?,1
Does A E u 3 Q U 5 k z  contains only digits?,0
Does 7 G 1 P  contains only digits?,0
Does 4 5 7 9 9 7 8 9  contains only digits?,1
Does 2 3 5 3 9 2 4 4 6  contains only digits?,1
Does 3 4 6 7 1 9  contains only digits?,1
Does 0 0 U 2 8 7 9 N 7 x 1 3 9  contains only digits?,0
Does 2 9 3 0  contains only digits?,1
Does 3 4 6 9 9 8 0 1 2 8 3 9 0 5 8  contains only digits?,1
Does X I D O M r f  contains only digits?,0
Does 0 A C  contains only digits?,0
Does 4 5 9 4 9 8  contains only digits?,1
Does m r 6 4 7 Q 9 j c 6 1 4 9 z  contains only digits?,0
Does q o 1  contains only digits?,0
Does e 0 T r S F 5 A 7 z d 0 l  contains only digits?,0
Does 5 6 9 0 4 2 2 6 2 7 5  contains only digits?,1
Does P 2 f t g Z n  contains only digits?,0
Does 4 9 1 9 2 7 0 3 6 1 2  contains only digits?,1
Does 5 7 4 9 0 8 C 3 2 9  contains only digits?,0
Does 8 6 1  contains only digits?,1
Does 8 8 5 5 1  contains only digits?,1
Does 7 5 4 4 9  contains only digits?,1
Does p s y  contains only digits?,0
Does 1 9 3 1 8 2  contains only digits?,1
Does 8 m 6 x A W I f x 0 7 w  contains only digits?,0
Does 7 P O X z 6 2 2  contains only digits?,0
Does 2 1 3  contains only digits?,1
Does 1 8 6 2 7 3  contains only digits?,1
Does 9 I 1 h S k D 5  contains only digits?,0
Does 4 0 9 3 s 2 C 5 R S 3  contains only digits?,0
Does 0 6 2 4 2 6 1 5 1 7  contains only digits?,1
Does 9 7 5  contains only digits?,1
Does 1 9 0  contains only digits?,1
Does t c s q g B T g N V  contains only digits?,0
Does 1 4 7 1 1 1 5 7 8 4 8 8 8 6  contains only digits?,1
Does q U J s w s K S w b g H Z V r  contains only digits?,0
Does 1 O 1  contains only digits?,0
Does 1 3 5 1 4 6 1 6 4 5 4 3 0 7 2  contains only digits?,1
Does 4 3 7 q  contains only digits?,0
Does 7 b 9 8 8 4 4 7  contains only digits?,0
Does 7 9 5 7  contains only digits?,1
Does 2 9 4 0 9 7 2 6 2  contains only digits?,1
Does w e T S l Q Z v v Z L e N l z  contains only digits?,0
Does 6 9 5 9 6 2 1  contains only digits?,1
Does 4 9 9 6 8 0 2 3 4 0 1  contains only digits?,1
Does f g 8 q  contains only digits?,0
Does o 2 V 2 5 G 2 s 1 f  contains only digits?,0
Does 7 4 5 2 9  contains only digits?,1
Does 6 9 4 0 0 5 9 4 8 1  contains only digits?,1
Does 4 5 1 4 7 4 2 0 8 2 7 5 9  contains only digits?,1
Does G v s 6 w O  contains only digits?,0
Does l m g v 5 F U u 8 7 6 u  contains only digits?,0
Does 5 8 9 5  contains only digits?,1
Does C Q F  contains only digits?,0
Does 0 5 B h O e 8 y q Q j  contains only digits?,0
Does 1 3 9 2 3 7 2 5 5 3  contains only digits?,1
Does k C e T m  contains only digits?,0
Does H s 1 1 9 6 7 Y v P 7 3  contains only digits?,0
Does H p P  contains only digits?,0
Does l p 4 G 3 0 1 B 9 3 2 8 7 S  contains only digits?,0
Does n 6 Q  contains only digits?,0
Does C Z f r  contains only digits?,0
Does 5 4 0 4 1 3 1 5 6 6  contains only digits?,1
Does 5 4 7 3 4 5 0 8  contains only digits?,1
Does 2 8 1 1 7 1 5 8 8 1 2 4  contains only digits?,1
Does 5 2 7 4 6 8 0 7 1 7 9  contains only digits?,1
Does 2 6 6 8 4 8 3 5  contains only digits?,1
Does 2 l P 3 9 E v T U M 8  contains only digits?,0
Does l 7 5 T 0 n I y p  contains only digits?,0
Does H 9 8  contains only digits?,0
Does 3 0 8 5 3 5 8 6 5 3 8 8 5 9  contains only digits?,1
Does 4 9 6 7 5 9 1  contains only digits?,1
Does 1 V o 6 0 J 3 5 x O p g  contains only digits?,0
Does 9 7 G  contains only digits?,0
Does 1 T q S  contains only digits?,0
Does 4 8 3 3 8 0 3 0 5 1 9 5 o 6  contains only digits?,0
Does 4 0 0 3 2 2 1 6 6 7 6 8 4  contains only digits?,1
Does 6 1 7 7 3 2 8 0  contains only digits?,1
Does 7 8 9 5 9 1 3 6 4 5 3 8 3  contains only digits?,1
Does i 0 E 9 D 1 c 8 4 e 9 4 9 3 1  contains only digits?,0
Does g i 6 g o  contains only digits?,0
Does 4 8 0 5 5 1 7 1 3 7 8  contains only digits?,1
Does r 9 2 S 9 1 0 T 1 n  contains only digits?,0
Does 3 9 7 n E N Q M  contains only digits?,0
Does 7 D 7 r T 7 1 6 l 2 X D 3 P 9  contains only digits?,0
Does 6 7 9  contains only digits?,1
Does 5 7 p o q B Z  contains only digits?,0
Does 9 2 5 6 9 1 6 1 2 7 3 0 1 W  contains only digits?,0
Does B 8 2 G  contains only digits?,0
Does 4 4 1 0 9 8 3 7 5 7 9 6 5 9 8  contains only digits?,1
Does q L 7 b G X G Q o 2 g a E  contains only digits?,0
Does 9 0 8 3 7 1 6 6 6 6 8 4  contains only digits?,1
Does 0 8 2 6 8 6 6 9 6 0 0  contains only digits?,1
Does 5 5 2 5 2 3 6 3 2 2 0 2 1 1  contains only digits?,1
Does 3 1 8 2 6 1 6  contains only digits?,1
Does 8 2 3 9 6 3 9 0 0  contains only digits?,1
Does 1 7 5  contains only digits?,1
Does a 7 X 4 7 W 2  contains only digits?,0
Does 8 2 4 9 6 5 1 6  contains only digits?,1
Does 1 6 7 2 L 8 2 6  contains only digits?,0
Does 2 6 8  contains only digits?,1
Does 1 5 0 1 5 9 4 4  contains only digits?,1
Does 9 1 9 4 4 1 2 4 4 3  contains only digits?,1
Does f u c 8  contains only digits?,0
Does o d x I x 7 P b n  contains only digits?,0
Does 8 4 5 8 1 8 4 3 0  contains only digits?,1
Does j 2 a 5 Q u 1 3 0 4 4 4  contains only digits?,0
Does 9 9 7 1 7 1 0 5 8 4 5  contains only digits?,1
Does 4 5 7  contains only digits?,1
Does z X N f o u v  contains only digits?,0
Does 6 c 1 0  contains only digits?,0
Does a 1 4 6 9 7 8 V  contains only digits?,0
