text,label
Is X m R c z b - X m R c z U p U F k  an tautonym?,0
Is t P v g - t P v g  an tautonym?,1
Is U K f x d t l a C - U K f x d t l a C  an tautonym?,1
Is X R G O q - x N x q q U z j o  an tautonym?,0
Is v Y p f a P - v Y p f a P  an tautonym?,1
Is l t q - h T x  an tautonym?,0
Is E S - V S t U x  an tautonym?,0
Is q n - q D o  an tautonym?,0
Is R A F P B l c u Q o - R A F P B l c u Q o  an tautonym?,1
Is B b r - B b r  an tautonym?,1
Is g - g  an tautonym?,1
Is M f q d - M f q d  an tautonym?,1
Is V L - V L  an tautonym?,1
Is H r v D - H F z D t m y z V  an tautonym?,0
Is G v Z y i s I S - G v Z y i s I S  an tautonym?,1
Is k g - k g  an tautonym?,1
Is W o L U h - c o p U h x a y  an tautonym?,0
Is C j l e w L f s - C j l e w L f s  an tautonym?,1
Is F Q P E k - F Q P E k  an tautonym?,1
Is u n - s L N f J  an tautonym?,0
Is m s z d - m s z d  an tautonym?,1
Is G u Y k - G u Y Q F u S B  an tautonym?,0
Is q a K J R i Y Q - q a K J R i Y Q  an tautonym?,1
Is Y I u S - K Z u i w R  an tautonym?,0
Is E A t - E A Z  an tautonym?,0
Is Z Q f F P T - Z Q f F P T  an tautonym?,1
Is z h i V u T - z h i V u T  an tautonym?,1
Is e k X W S Y G - e k X W S Y G  an tautonym?,1
Is v P - v P  an tautonym?,1
Is j D T e F B w - j D T e F B w  an tautonym?,1
Is U a Y B G d P h - U j S B K R f h D r V  an tautonym?,0
Is X w p V N B k J u - h w x V L y v J o t M a u  an tautonym?,0
Is A U Q - A U Q  an tautonym?,1
Is T n c - T n c  an tautonym?,1
Is q u P r W B K R y - q u P Y W B K R w  an tautonym?,0
Is O p x n k r q F - O p S Q Q D q x T y F U  an tautonym?,0
Is Q - T h  an tautonym?,0
Is Y h z j k - P s V j k D  an tautonym?,0
Is P e C b o S D j k x - P e C b o S D j k x  an tautonym?,1
Is b i F z s m d U N j - b i U z s n p W N j C s u R t  an tautonym?,0
Is K m B H W s L - K P I z W s L U g  an tautonym?,0
Is X A t - X A t  an tautonym?,1
Is l c - l c  an tautonym?,1
Is o F I - M F I p  an tautonym?,0
Is e B l - p B l K w n  an tautonym?,0
Is I X - I M q  an tautonym?,0
Is a f S F H c B Q - O f S T z r B Q B Q S z y  an tautonym?,0
Is k t a n F j - k t I R F j s e  an tautonym?,0
Is I P E M L X - s O E M C W  an tautonym?,0
Is e d - e d  an tautonym?,1
Is y C u V T l - B C u P T z O  an tautonym?,0
Is j a i r b p n u e R - j a i T b p n u e R v l s  an tautonym?,0
Is d u p J Y o h s - I g u q i o h T N  an tautonym?,0
Is x d - t a l v Y  an tautonym?,0
Is Q L X d - t j i Z Y q  an tautonym?,0
Is I - I  an tautonym?,1
Is q G R V J Y - m E D l R Y H I u  an tautonym?,0
Is u I A l L s - u I A l L s  an tautonym?,1
Is U e p K E b O B - U e p K E b O B  an tautonym?,1
Is D t L F P E W - D t L F T E W P L  an tautonym?,0
