text,label
Is  s b x L R B P F Z f j s  palindrome?,0
Is  a X W W X a  palindrome?,1
Is  R n x g x n R  palindrome?,1
Is  N i u t N K B P Y B b u i N  palindrome?,0
Is  b d y x T G G T x y d b  palindrome?,1
Is  F c p I W x c F  palindrome?,0
Is  Q R x B e n v m P f R Q  palindrome?,0
Is  Z f m N L f n Z B u f Z  palindrome?,0
Is  U M M U  palindrome?,1
Is  O Y O W h Q P P Q h W O Y O  palindrome?,1
Is  X W L L W X  palindrome?,1
Is  z k G e P e G k z  palindrome?,1
Is  a S f M C D D C M f S a  palindrome?,1
Is  p F b D G a U R b F p  palindrome?,0
Is  o z X S g b g S X z o  palindrome?,1
Is  P L l o N b t b N o l L P  palindrome?,1
Is  W A g s p E l t S x a g A W  palindrome?,0
Is  f t Q M R D N N D R M Q t f  palindrome?,1
Is  j n Q M F j F M Q n j  palindrome?,1
Is  R B x v K Z Z w N N Y v x B R  palindrome?,0
Is  x y w J H H J w y x  palindrome?,1
Is  B A t d s u a l b O P  palindrome?,0
Is  Z p a n g o W y W o g n a p Z  palindrome?,1
Is  V t C b l Q k E t j C t V  palindrome?,0
Is  J O C J  palindrome?,0
Is  T p c Z n c r r c n Z c p T  palindrome?,1
Is  N q T J c P P c J T q N  palindrome?,1
Is  B o o B  palindrome?,1
Is  h W T Q T W h  palindrome?,1
Is  L q D v R H H R v D q L  palindrome?,1
Is  l u k p s a W H K i a x s c l  palindrome?,0
Is  A s J l Z F j r T N t J s A  palindrome?,0
Is  z T Z R Q Q R Z T z  palindrome?,1
Is  E s j j s E  palindrome?,1
Is  t o r p b j x z o t  palindrome?,0
Is  W C V r o U w z J C W  palindrome?,0
Is  A k s A  palindrome?,0
Is  P t l a P h L E Z p D i t b D  palindrome?,0
Is  Y o o Y  palindrome?,1
Is  s N I S D G I N s  palindrome?,0
Is  H e l t e H  palindrome?,0
Is  p y W M d f m m f d M W y p  palindrome?,1
Is  T B h b J g v g J b h B T  palindrome?,1
Is  c u u d h H p l u u c  palindrome?,0
Is  d B l  palindrome?,0
Is  m m t h P T D h t m m  palindrome?,0
Is  n b s u t c a j v  palindrome?,0
Is  Q c y J w a e X y c Q  palindrome?,0
Is  o L w  palindrome?,0
Is  s K H F F H K s  palindrome?,1
Is  a S D R G i  palindrome?,0
Is  C p Y G Z a i N U M x Q  palindrome?,0
Is  z k w Q E w k z  palindrome?,0
Is  E O y k g O E  palindrome?,0
Is  v q V E J y d  palindrome?,0
Is  T t g g t T  palindrome?,1
Is  y S s Q z t t b b h E s S y  palindrome?,0
Is  l z M h K z K h M z l  palindrome?,1
Is  Z U P E r E P U Z  palindrome?,1
Is  H v d H  palindrome?,0
Is  v g R a R g v  palindrome?,1
Is  w v g c a S t G i k g v w  palindrome?,0
Is  C G M G C  palindrome?,1
Is  t z f j i d T d i j f z t  palindrome?,1
Is  V F J O C Z C O J F V  palindrome?,1
Is  u L O i i O L u  palindrome?,1
Is  T j E Y w M E j T  palindrome?,0
Is  h Z Z h  palindrome?,1
Is  Q m t b u E  palindrome?,0
Is  i H T q W y H V q  palindrome?,0
Is  f c A k f  palindrome?,0
Is  z d l t l d z  palindrome?,1
Is  A e C b X y W y X b C e A  palindrome?,1
Is  D g S G o R  palindrome?,0
Is  o A v e K C F C K e v A o  palindrome?,1
Is  Q e D v m m v D e Q  palindrome?,1
Is  I W Z u o w c Z W I  palindrome?,0
Is  E y t A P a C z C a P A t y E  palindrome?,1
Is  k p S x U e m I f G x s  palindrome?,0
Is  M q x c G U k f q M  palindrome?,0
Is  h k r s Z u j m j u Z s r k h  palindrome?,1
Is  U E c z t X L b h k S I  palindrome?,0
Is  K X K C E C K X K  palindrome?,1
Is  U r H T a a T H r U  palindrome?,1
Is  I O O I  palindrome?,1
Is  X a J P P J a X  palindrome?,1
Is  y l O O l y  palindrome?,1
Is  i T i  palindrome?,1
Is  b O M z M O b  palindrome?,1
Is  C s R W p x W R s C  palindrome?,0
Is  c y A v d O g c  palindrome?,0
Is  a f f a  palindrome?,1
Is  G q y M M O Y O M M y q G  palindrome?,1
Is  C n x k c w E E w c k x n C  palindrome?,1
Is  E e v E c v q d k S v e E  palindrome?,0
Is  m V L B B L V m  palindrome?,1
Is  w d m K j E p E j K m d w  palindrome?,1
Is  R X L R  palindrome?,0
Is  s K f r U R d l F I z n Y a  palindrome?,0
Is  L F I F L  palindrome?,1
Is  J s F F B T F s J  palindrome?,0
Is  e t R F t e  palindrome?,0
Is  W c t v c d b k W  palindrome?,0
Is  P R y P O J U U J O P y R P  palindrome?,1
Is  j r N o Y Y J b X M M w B z r  palindrome?,0
Is  b i A O R K n K R O A i b  palindrome?,1
Is  B S R u F G B  palindrome?,0
Is  k h M E d k M k d E M h k  palindrome?,1
Is  L C k D D k C L  palindrome?,1
Is  g A g  palindrome?,1
Is  b y g b  palindrome?,0
Is  z A A S F F S A A z  palindrome?,1
Is  F V P D J T  palindrome?,0
Is  U I R H s V R I U  palindrome?,0
Is  a S r o r S a  palindrome?,1
Is  e X f h X I X h f X e  palindrome?,1
Is  y y P x o t n b o x P y y  palindrome?,0
Is  j g r  palindrome?,0
Is  T x A Y Y m J d J m Y Y A x T  palindrome?,1
Is  g A P M b b M P A g  palindrome?,1
Is  U b R p G G p R b U  palindrome?,1
Is  z k s V D R J a s z  palindrome?,0
Is  Z C j f f j C Z  palindrome?,1
Is  g K Z H r V N Y o  palindrome?,0
Is  D N v v Q E d v N D  palindrome?,0
Is  h Z u x I K a K I x u Z h  palindrome?,1
Is  U F K w t R E F t w K F U  palindrome?,0
Is  P S s u D c a S P  palindrome?,0
Is  E z T n i H i n T z E  palindrome?,1
Is  u S i f D u u D f i S u  palindrome?,1
Is  m u E s a E u m  palindrome?,0
Is  E h h h h h h E  palindrome?,1
Is  x L z H S r v v r S H z L x  palindrome?,1
Is  M x a K F Y i x M  palindrome?,0
Is  B k B g W K o B k B  palindrome?,0
Is  H B p b O T T O b p B H  palindrome?,1
Is  N Y P U m m U P Y N  palindrome?,1
Is  L E r o d d o r E L  palindrome?,1
Is  z o i c k q o z  palindrome?,0
Is  H t y u U Z Z N Z U u y t H  palindrome?,0
Is  Q r L f r X N r N X r f L r Q  palindrome?,1
Is  H i c k q V  palindrome?,0
Is  d C b v r a N Q B i z d j C d  palindrome?,0
Is  n P n j E L L E j n P n  palindrome?,1
