text,label
Does i i v x c m o o u o  has only vowels?,0
Does a u e o i u i  has only vowels?,1
Does u i u a e e u o u u  has only vowels?,1
Does u d i  has only vowels?,0
Does a u a i u i  has only vowels?,1
Does d u e u m i  has only vowels?,0
Does v a i  has only vowels?,0
Does a k i o u a f j p i  has only vowels?,0
Does o e e e u o o  has only vowels?,1
Does e u o  has only vowels?,1
Does a e o  has only vowels?,1
Does e i i a i u  has only vowels?,1
Does u e a e e e i  has only vowels?,1
Does u r i r a o i u i c  has only vowels?,0
Does o o i u i  has only vowels?,1
Does e i o a i u  has only vowels?,1
Does w s u r  has only vowels?,0
Does o u e e o u e  has only vowels?,1
Does o u i i i a o o  has only vowels?,1
Does h n i i o u  has only vowels?,0
Does e e a a i e a  has only vowels?,1
Does z u x o a i  has only vowels?,0
Does a o i a u i  has only vowels?,1
Does i x u u t e u q e  has only vowels?,0
Does r i k a i  has only vowels?,0
Does o e o e i  has only vowels?,1
Does e u o o  has only vowels?,1
Does e u i o e u i i i  has only vowels?,1
Does u i o o u o  has only vowels?,1
Does a e u a o a o a a i  has only vowels?,1
Does u v u s a i e a o  has only vowels?,0
Does e o t w  has only vowels?,0
Does a u u a a o a a e i  has only vowels?,1
Does o i e i i a  has only vowels?,1
Does o a i i s j l  has only vowels?,0
Does o i a s  has only vowels?,0
Does o j d u q l i f p  has only vowels?,0
Does e e a k i v a o  has only vowels?,0
Does a e i  has only vowels?,1
Does y o u u o  has only vowels?,0
Does i i i e x  has only vowels?,0
Does e o o a  has only vowels?,1
Does a o o o u u i u  has only vowels?,1
Does h k a  has only vowels?,0
Does v i s  has only vowels?,0
Does r g k  has only vowels?,0
Does z i h d x e u a  has only vowels?,0
Does z m a q u  has only vowels?,0
Does u y h u o s  has only vowels?,0
Does u o o a o u  has only vowels?,1
Does o e o d u i u v  has only vowels?,0
Does o o a a o c i k a  has only vowels?,0
Does i y e e a a u o i  has only vowels?,0
Does c e e z u w u u r  has only vowels?,0
Does n d o e a i u i x q  has only vowels?,0
Does e o a u a i o u u  has only vowels?,1
Does y i e  has only vowels?,0
Does a i o i o e a a  has only vowels?,1
Does i o e e i o u u u i  has only vowels?,1
Does i i c  has only vowels?,0
Does e o e u  has only vowels?,1
Does u o i r l m a q v  has only vowels?,0
Does e i i o a u  has only vowels?,1
Does o a i i a i  has only vowels?,1
Does u i o u i o o u o a  has only vowels?,1
Does o i u o u i e e e  has only vowels?,1
Does v o v  has only vowels?,0
Does e o u e  has only vowels?,1
Does u o o u z o  has only vowels?,0
Does o m a i v  has only vowels?,0
Does e o n n  has only vowels?,0
Does e a e o a i e e o a  has only vowels?,1
Does a i i e a a a o u i  has only vowels?,1
Does e k t b u y p o a  has only vowels?,0
Does u i i o a e  has only vowels?,1
Does a a o  has only vowels?,1
Does d w p a u u  has only vowels?,0
Does i u o e u o  has only vowels?,1
Does e m v u o  has only vowels?,0
Does i u i u o n o  has only vowels?,0
Does i e a o o i i o e i  has only vowels?,1
Does i o a a p a v  has only vowels?,0
Does a i a o a i u u o  has only vowels?,1
Does e i i o u e i  has only vowels?,1
Does o e o i o  has only vowels?,1
Does o a i e a e e i u o  has only vowels?,1
Does o u e o e u  has only vowels?,1
Does u a o a o i i e  has only vowels?,1
Does u e u a e o a e a e  has only vowels?,1
Does a c u f a q  has only vowels?,0
Does b l u b z r v v g e  has only vowels?,0
Does o a a o e a u  has only vowels?,1
Does a o e i i o u e e  has only vowels?,1
Does i e a a u  has only vowels?,1
Does c y l u w a o g i u  has only vowels?,0
Does i u o i  has only vowels?,1
Does u e i u i i e u o  has only vowels?,1
Does u t u  has only vowels?,0
Does l r a  has only vowels?,0
Does i a i i i e e a  has only vowels?,1
Does q d a x c p f o  has only vowels?,0
Does e d g t y u u  has only vowels?,0
Does v h u t v  has only vowels?,0
Does o a e  has only vowels?,1
Does d i y e k  has only vowels?,0
Does e i e i  has only vowels?,1
Does o u o o v o i e k  has only vowels?,0
Does e a e u e o a  has only vowels?,1
Does o e o e i i  has only vowels?,1
Does o a a o  has only vowels?,1
Does z v a a i i u n o  has only vowels?,0
Does u e u a i  has only vowels?,1
Does o i i j v v v i p a  has only vowels?,0
Does r a j e  has only vowels?,0
Does o u i  has only vowels?,1
Does o a e i o a  has only vowels?,1
Does u u k l  has only vowels?,0
Does u h e  has only vowels?,0
Does e i o a a o i o  has only vowels?,1
Does i i o a  has only vowels?,1
Does a e e u o i a  has only vowels?,1
Does b e h a  has only vowels?,0
Does a o i i o e o u  has only vowels?,1
Does v p a z a i m g  has only vowels?,0
Does o g f i u  has only vowels?,0
Does i i e a  has only vowels?,1
Does u b x l n c  has only vowels?,0
Does u a n w c j u u  has only vowels?,0
Does a e o i o o o i i  has only vowels?,1
Does u e i o i a i  has only vowels?,1
Does c c p j n i e o  has only vowels?,0
Does a e o i e u  has only vowels?,1
Does i o a  has only vowels?,1
Does e u p a a x  has only vowels?,0
Does o y d r u a  has only vowels?,0
Does u a o o  has only vowels?,1
Does u o e u  has only vowels?,1
Does a i e u u u i o e u  has only vowels?,1
Does f i q y r l o o  has only vowels?,0
Does e n u r  has only vowels?,0
Does i i u a i o e o i  has only vowels?,1
Does o d m e i i i  has only vowels?,0
Does i u e u a x  has only vowels?,0
Does o i o i e o  has only vowels?,1
Does o u d i p j m a o  has only vowels?,0
Does u u n  has only vowels?,0
Does u u i z l o u  has only vowels?,0
Does c k x e a  has only vowels?,0
Does p w a e u g  has only vowels?,0
Does i l i m i u e i z  has only vowels?,0
Does i u e a u a u  has only vowels?,1
Does e e e e u u a o  has only vowels?,1
Does a a a o o u i  has only vowels?,1
Does e a u o e a e  has only vowels?,1
Does i a u e o i e i  has only vowels?,1
Does x x o o i u e  has only vowels?,0
Does a f u a o e j  has only vowels?,0
Does u s u v u a a  has only vowels?,0
Does u a o o a a a o u u  has only vowels?,1
Does a e u o e a a o e  has only vowels?,1
Does v t a p u a r a o  has only vowels?,0
Does r o l  has only vowels?,0
Does e o z u v e o  has only vowels?,0
Does x l c e e l r c e  has only vowels?,0
Does a a e i e o o u i o  has only vowels?,1
Does u o a e a  has only vowels?,1
Does o i a u u a i  has only vowels?,1
Does i e r z e o t z q p  has only vowels?,0
Does c g g n a a d u z e  has only vowels?,0
Does a e e i o a a u  has only vowels?,1
Does e p i d n i q t  has only vowels?,0
Does p q n e u x a u i t  has only vowels?,0
Does u o o e r k a i  has only vowels?,0
Does o i i e a u a u  has only vowels?,1
Does o j a n i  has only vowels?,0
Does u y n w  has only vowels?,0
Does a u u a e e u o i l  has only vowels?,0
