text,label
Compute 872 divided by four hundred and thirty six,2
Compute 868 minus eight hundred and sixty,8
Compute twenty seven minus 25,2
Compute 280 minus two hundred and seventy two,8
Compute 628 minus six hundred and twenty,8
Compute 1894 divided by nine hundred and forty seven,2
Compute 1307 minus one thousand three hundred and seven,0
Compute 912 minus nine hundred and three,9
Compute 1592 divided by seven hundred and ninety six,2
Compute one thousand six hundred and thirty eight minus 1638,0
Compute seven hundred and thirty five minus 731,4
Compute 3024 divided by seven hundred and fifty six,4
Compute eight hundred and six minus 797,9
Compute eight hundred and ninety five divided by 895,1
Compute 602 minus five hundred and ninety six,6
Compute one thousand one hundred and thirty eight divided by 569,2
Compute 660 minus six hundred and sixty,0
Compute three thousand eight hundred and sixteen divided by 424,9
Compute three hundred and sixty four divided by 91,4
Compute 4266 divided by seven hundred and eleven,6
Compute 1809 divided by two hundred and one,9
Compute five hundred and two minus 499,3
Compute 534 minus five hundred and twenty six,8
Compute 1064 divided by one hundred and thirty three,8
Compute 172 minus one hundred and sixty four,8
Compute eight thousand one hundred and eighty one divided by 909,9
Compute 723 minus seven hundred and twenty one,2
Compute 4818 divided by eight hundred and three,6
Compute 987 divided by three hundred and twenty nine,3
Compute two thousand eight hundred and ninety eight divided by 414,7
Compute one thousand three hundred and seventy nine minus 1379,0
Compute eight hundred and sixteen minus 812,4
Compute 38 minus thirty,8
Compute nineteen minus 11,8
Compute 1554 divided by two hundred and fifty nine,6
Compute 124 minus one hundred and nineteen,5
Compute one hundred and nine divided by 109,1
Compute 147 minus one hundred and forty seven,0
Compute two hundred and ninety seven minus 291,6
Compute one thousand and eight divided by 336,3
Compute three hundred and fifty four divided by 354,1
Compute one thousand two hundred and thirty two minus 1232,0
Compute four thousand five hundred and seventy two divided by 762,6
Compute 180 minus one hundred and seventy eight,2
Compute six hundred and eighty divided by 85,8
Compute two hundred and two minus 202,0
Compute 479 minus four hundred and seventy one,8
Compute 451 minus four hundred and forty six,5
Compute four hundred and nineteen minus 417,2
Compute 782 minus seven hundred and seventy nine,3
Compute 187 minus one hundred and eighty one,6
Compute three thousand seven hundred and sixty eight divided by 628,6
Compute 536 minus five hundred and twenty eight,8
Compute three thousand five hundred and eighty eight divided by 598,6
Compute 245 minus two hundred and forty,5
Compute 70 divided by fourteen,5
Compute seven hundred and fifty two minus 747,5
Compute 2511 divided by two hundred and seventy nine,9
Compute 848 minus eight hundred and forty four,4
Compute seventeen minus 13,4
Compute 111 minus one hundred and ten,1
Compute one thousand five hundred and five divided by 301,5
Compute one thousand eight hundred and thirty eight divided by 919,2
Compute one thousand one hundred and twenty eight minus 1128,0
Compute two hundred and fifty nine minus 258,1
Compute 1914 divided by three hundred and nineteen,6
Compute 145 minus one hundred and forty one,4
Compute five hundred and thirteen divided by 57,9
Compute one thousand six hundred and twenty six divided by 813,2
Compute ninety minus 86,4
Compute eight hundred and ten minus 801,9
Compute six hundred and sixty nine minus 669,0
Compute seven hundred and sixty one minus 755,6
Compute 76 minus seventy two,4
Compute 1000 minus nine hundred and ninety six,4
Compute three hundred and fifty four divided by 59,6
Compute four hundred and sixty four minus 464,0
Compute 1083 divided by three hundred and sixty one,3
Compute 3171 divided by four hundred and fifty three,7
